variavel,gain,gain_relativo
orgao_julgador_Centro Judiciário Regional de Solução Consensual de Conflitos e Cidadania - CESNITA,0.0,0.0
orgao_julgador_Centro Judiciário de Saúde - CEJUSC Saúde,0.0,0.0
orgao_julgador_Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Barra do Piraí,0.0,0.0
orgao_julgador_Centro Solução Conflitos e Cidadania,0.0,0.0
orgao_julgador_Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Três Rios,0.0,0.0
orgao_julgador_Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Teresópolis,0.0,0.0
orgao_julgador_Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Petrópolis,0.0,0.0
orgao_julgador_Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Nova Iguaçu,0.0,0.0
orgao_julgador_Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Nova Friburgo,0.0,0.0
orgao_julgador_Centro de Solução de Conflitos da CESUL - Sul Fluminense,0.0,0.0
orgao_julgador_Centro de Solução de Conflitos de Magé - CESOL - MAG,0.0,0.0
orgao_julgador_Diretoria de Itaboraí,0.0,0.0
orgao_julgador_Diretoria de Campos,0.0,0.0
orgao_julgador_Centro de Solução de Conflitos de São Pedro da Aldeia - CESOL - SPA,0.0,0.0
orgao_julgador_GABINETE 18 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 19 - ES PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 11,0.0,0.0
orgao_julgador_GABINETE 10 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 11 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 24 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 23 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 22 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 23,0.0,0.0
orgao_julgador_1ª Vara Federal de São Pedro da Aldeia,0.0,0.0
orgao_julgador_GABINETE 21 - ES PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 20 - ES PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 09 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 13 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 12 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 14 - ES PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 15 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 17 - ES PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 16 - ES PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 27 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 25 - RJ PREV - TRU,0.0,0.0
orgao_julgador_3ª Vara Federal de São Gonçalo,0.0,0.0
orgao_julgador_3ª Vara Federal de São João de Meriti,0.0,0.0
orgao_julgador_GABINETE 30 - RJ PREV - TRU,0.0,0.0
orgao_julgador_3ª Turma Recursal do Rio de Janeiro,0.0,0.0
orgao_julgador_GABINETE 29 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 28,0.0,0.0
orgao_julgador_GABINETE 28 - RJ PREV - TRU,0.0,0.0
orgao_julgador_GABINETE 29,0.0,0.0
orgao_julgador_GABINETE 27,0.0,0.0
orgao_julgador_GABINETE 26 - RJ PREV - TRU,0.0,0.0
orgao_julgador_2ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_GABINETE 31,0.0,0.0
orgao_julgador_GABINETE 35 - JFC,0.0,0.0
orgao_julgador_Núcleo de Justiça 4.0,0.0,0.0
orgao_julgador_Plantão,0.0,0.0
orgao_julgador_12º Juizado Especial Federal do Rio de Janeiro,0.0,0.0
